38,35.81,6835000,-0.75,-0.0202,0
36.5,35.31,3677300,-0.38,-0.0103,1
37.44,36,2145300,1.31,0.0364,0
37.69,37.31,2241600,0,0.0000,1
37.56,37.12,1290900,0.12,0.0034,0
37.56,36.81,1264800,-0.31,-0.0083,1
37.62,36.94,1905200,0.38,0.0101,1
37.94,37.56,1776700,0.31,0.0083,0
38,37.25,2140300,-0.31,-0.0082,0
37.75,37.06,1561100,-0.19,-0.0051,1
37.62,37.31,476600,0.25,0.0067,0
37.75,37,1671600,-0.5,-0.0133,0
36.94,36.38,1790900,-0.62,-0.0169,1
36.81,36.06,2067800,0.38,0.0103,0
37.06,36.19,1807500,-0.44,-0.0118,1
36.88,36.38,1006600,0.44,0.0120,1
37.44,36.56,1242800,0.62,0.0170,0
37.69,36.5,1755600,-0.88,-0.0234,1
36.75,36.06,1662200,0.12,0.0034,0
36.94,36.38,2102200,0,0.0000,0
36.69,36.12,1493400,-0.31,-0.0085,1
36.88,36.12,1474400,0.38,0.0103,1
37.56,36.94,1631600,0.81,0.0220,0
37.62,36.56,1892800,-0.75,-0.0200,1
37.25,36.62,1205800,0.44,0.0120,0
37.38,37.06,949800,-0.12,-0.0034,1
37.75,37.25,1650000,0.5,0.0135,1
37.88,37.31,1305500,0.06,0.0016,1
37.81,37.5,1731600,0.06,0.0017,0
38,37.44,1689500,-0.19,-0.0050,1
38.12,37.44,1270900,0.56,0.0150,1
38.38,37.81,2069700,0.19,0.0049,1
39.06,38.38,2300000,0.69,0.0180,1
40.38,38.81,2450900,1.12,0.0288,0
40.12,39.5,2113000,-0.31,-0.0079,0
40,39.5,1587500,0,0.0000,1
41,39.88,2503600,0.56,0.0142,1
40.69,39.94,2211600,0.12,0.0031,1
41.12,40.38,1643300,0.12,0.0031,0
40.44,40.06,2605300,-0.38,-0.0092,1
40.88,39.94,1607700,0.06,0.0015,1
40.94,40.38,1222200,0.62,0.0155,1
42.12,41.25,1923900,1.06,0.0260,0
42.19,41.06,1635200,-0.44,-0.0105,0
41.44,40.75,1448900,-0.69,-0.0165,1
41.06,40.25,2036400,0.19,0.0045,0
41.69,40.56,2296100,-0.38,-0.0091,0
41.12,40.06,1874800,-0.31,-0.0076,1
41.12,40.5,1570200,0.69,0.0170,1
42.19,40.94,1649800,0.94,0.0229,1
42.12,41.75,1201100,0.12,0.0030,0
42.19,41.44,1284500,-0.56,-0.0134,1
42,41.31,1640300,0.19,0.0046,0
41.44,39.94,2951300,-1.62,-0.0389,1
40.81,40.06,2653400,0.44,0.0108,1
